name,imei,type,company,disabled,channels
A1 (PATROL),860456061494442,iTALK-300(NFC),Guardnet Security,False,
A2 ,860456060953547,iTALK-300(NFC),Guardnet Security,False,
A2 (PATROL),860456061479005,iTALK-300(NFC),Guardnet Security,False,
A3 (Patrol),860456062005445,iTALK-300(NFC),Guardnet Security,False,
BC,860456060953661,iTALK-300(NFC),Guardnet Security,False,
BC (PATROL),860456060935528,iTALK-300(NFC),Guardnet Security,False,
BH (GUARDHOUSE),865261043394073,iTALK-200(NFC),Guardnet Security,False,
BH (Outside),860456061484047,iTALK-300(NFC),Guardnet Security,False,
BH (PATROL),860456060954149,iTALK-300(NFC),Guardnet Security,False,
BR,865741032133889,iTALK-200(NFC),Guardnet Security,False,
BR (PATROL 1),865741130106070,iTALK-200(NFC),Guardnet Security,False,
BR (PATROL 2),865741032142880,iTALK-200(NFC),Guardnet Security,False,
BR (RED GATE),860456060933804,iTALK-300(NFC),Guardnet Security,False,
BT,868866061235045,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
BT (Patrol),868866061266321,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
BV LD,860456061477363,iTALK-300(NFC),Guardnet Security,False,
BV RES (PATROL 1)	,868866061194176,iTALK-200(NFC) (4G),Guardnet Security,False,
BV RES (PATROL 2),868866061124652,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
BV RES 1,865261043374877,iTALK-200,Guardnet Security,False,
BV RES 2,868866061250275,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
CE (M3732),863270050085682,T199,Guardnet Security,False,
CE (PATROLING),860456060968123,iTALK-300(NFC),Guardnet Security,False,
CONTROL ROOM (BASE),868733042838505,iTALK-450 (4G),Guardnet Security,False,
Control Room Loan,868733042761228,iTALK-450(NFC) (4G),Guardnet Security,False,
DK,868866061124637,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
FB (PATROL) ,865261043318064,iTALK-200(NFC),Guardnet Security,False,
FV (M3616),863270050046858,T199,Guardnet Security,False,
FV (PATROL),860456060939009,iTALK-300(NFC),Guardnet Security,False,
HK 24 BX GP,868866061230541,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
HW 44 BW GP,868866061231572,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
KP 91 BN GP,868866061243692,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
KT 53 PH GP,868866061230590,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
LJ 03 RK GP,868866061231564,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
LP (PATROL),860456060945584,iTALK-300(NFC),Guardnet Security,False,
LT (GUARDHOUSE),865261043227273,iTALK-200(NFC),Guardnet Security,False,
LT (PATROL),860456060931089,iTALK-300(NFC),Guardnet Security,False,
LT 1,860456061984129,iTALK-300(NFC),Guardnet Security,False,
M2653,358740050805190,T199,Guardnet Security,False,
M3016,868255030287982,T199,Guardnet Security,False,
M5 (PATROL),866910041467377,iTALK-200(NFC) (4G),Guardnet Security,False,
MK (M3788),863270050126999,T199,Guardnet Security,False,
MK (PATROL),860456060953521,iTALK-300(NFC),Guardnet Security,False,
ML ,860456061486687,iTALK-300(NFC),Guardnet Security,False,
ML (Patrol),860456061491620,iTALK-300(NFC),Guardnet Security,False,
ML Night Left Side,860456061519826,iTALK-300(NFC),Guardnet Security,False,
ML Night Right Side,860456061473727,iTALK-300(NFC),Guardnet Security,False,
MT (PATROL),860456060955062,iTALK-300(NFC),Guardnet Security,False,
MV (PATROL),866910041467500,iTALK-200(NFC) (4G),Guardnet Security,False,
OH,866910041128359,iTALK-200 (4G),Guardnet Security,False,
OH (PATROL 1),866910041493431,iTALK-200(NFC) (4G),Guardnet Security,False,
OH (PATROL 2),865261043146390,iTALK-200(NFC),Guardnet Security,False,
PE,860456060929646,iTALK-300(NFC),Guardnet Security,False,
PF,865741032145859,iTALK-200(NFC),Guardnet Security,False,
PR (DITABA 2),866910041222996,iTALK-200(NFC),Guardnet Security,False,
PR (DITABA),866910041373468,iTALK-200 (4G),Guardnet Security,False,
PR (PATROL) ZONE 2,860456060947762,iTALK-300(NFC),Guardnet Security,False,
PR (PATROL) ZONE1,860456060933127,iTALK-300(NFC),Guardnet Security,False,
PR 2,868866061124561,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
PR 3,868866061123498,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
PR CR,868866061127986,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
PR HOA (PATROL),868866061126772,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
PV (M3619),863270050078901,T199,Guardnet Security,False,
PV (PATROL),860456060978502,iTALK-300(NFC),Guardnet Security,False,
RA,865261043347238,iTALK-200(NFC),Guardnet Security,False,
RA (PATROL),865741032142997,iTALK-200(NFC),Guardnet Security,False,
RA (T529A),863270050000996,T199,Guardnet Security,False,
RT,866910041430078,iTALK-200 (4G),Guardnet Security,False,
SM (M3463),868255030499827,T199,Guardnet Security,False,
TB (M3832),863270050088413,T199,Guardnet Security,False,
TB (PATROL),865741032134028,iTALK-200(NFC),Guardnet Security,False,
TE (PATROL),860456060930081,iTALK-300(NFC),Guardnet Security,False,
VD (PATROL),868866061256942,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
VP (M3789),863270050126981,T199,Guardnet Security,False,
WF,865741130112110,iTALK-200(NFC),Guardnet Security,False,
WP (PATROL),860456060952564,iTALK-300(NFC),Guardnet Security,False,
WP Gate 1,860456060983106,iTALK-300(NFC),Guardnet Security,False,
WP Gate 2,860456061492248,iTALK-300(NFC),Guardnet Security,False,
Z21,860456060982561,iTALK-300(NFC),Guardnet Security,False,
Z21 (PATROL),860456060938662,iTALK-300(NFC),Guardnet Security,False,
ZH,868866061117953,iTALK-200 Dual Sim,Guardnet Security,False,
ZH (PATROL),860456061522069,iTALK-300(NFC),Guardnet Security,False,
ZV ,868866061242264,iTALK-200 (NFC) Dual Sim,Guardnet Security,False,
